"Title","Type","Question_Text","Question_Label","Answer_Text","Number_Times_Answer_Selected","Number_Times_Question_Answered","Question_ID","Answer_ID"
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","B. Neutral",8,46,1413672,4745484
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","C. Unsatisfied",0,46,1413672,4745485
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the building façade and envelope maintenance?</span>","Building Facade and Envelope Maintenance","A. Satisfied",44,46,1413673,4745486
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the building façade and envelope maintenance?</span>","Building Facade and Envelope Maintenance","B. Neutral",2,46,1413673,4745487
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the building façade and envelope maintenance?</span>","Building Facade and Envelope Maintenance","C. Unsatisfied",0,46,1413673,4745488
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the washroom’s cleanliness and janitorial services in the building?</span>","Washroom & Janitorial Services","A. Satisfied",37,46,1413674,4745489
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the washroom’s cleanliness and janitorial services in the building?</span>","Washroom & Janitorial Services","B. Neutral",8,46,1413674,4745490
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the washroom’s cleanliness and janitorial services in the building?</span>","Washroom & Janitorial Services","C. Unsatisfied",1,46,1413674,4745491
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p style=""margin: 0in 0in 6pt;""><span>How satisfied are you with the help desk management?</span></p>","Help Desk ","A. Satisfied",37,46,1413675,4745492
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p style=""margin: 0in 0in 6pt;""><span>How satisfied are you with the help desk management?</span></p>","Help Desk ","B. Neutral",9,46,1413675,4745493
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p style=""margin: 0in 0in 6pt;""><span>How satisfied are you with the help desk management?</span></p>","Help Desk ","C. Unsatisfied",0,46,1413675,4745494
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with vending and catering and pantry facilities management in the building?</span>","Vending, Catering, Pantry Facilities","A. Satisfied",38,46,1413676,4745495
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with vending and catering and pantry facilities management in the building?</span>","Vending, Catering, Pantry Facilities","B. Neutral",7,46,1413676,4745496
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with vending and catering and pantry facilities management in the building?</span>","Vending, Catering, Pantry Facilities","C. Unsatisfied",1,46,1413676,4745497
